CONNECTEUR_A;VOIES_A;POINT_TEST_A;CONNECTEUR_B;VOIES_B;POINT_TEST_B;TYPE_TEST;POINT_LED_A;POINT_LED_B;COMMENTAIRE
CN1;2;18;CN4;1;52;PC;49;1;MARRON
CN1;3;16;CN3;1;48;PC;59;1;BLANC
CN1;4;14;CN9;1;68;PC;61;1;NOIR
CN1;5;12;CN10;1;72;PC;57;1;ROSE
CN1;6;10;CN3;2;46;PC;59;1;EP1 JAUNE VERT
CN1;6;10;CN4;2;50;PC;49;1;EP1 JAUNE VERT
CN1;6;10;CN9;2;66;PC;61;1;EP1 JAUNE VERT
CN1;6;10;CN10;2;70;PC;57;1;EP1 JAUNE VERT
CN2;1;40;CN5;2;54;PC;58;1;JAUNE
CN2;2;38;CN8;2;74;PC;4;1;VERT
CN2;3;36;CN6;1;62;PC;57;1;EP2 vert
CN2;3;36;CN7;1;88;PC;6;1;EP2 marron
CN2;3;36;CN5;1;58;PC;58;1;EP2 rose
CN2;3;36;CN8;1;78;PC;4;1;EP2 blanc
CN2;4;34;CN6;3;64;PC;57;1;EP3 ORANGE
CN2;4;34;CN7;3;90;PC;6;1;EP3 JAUNE
CN2;4;34;CN5;3;56;PC;58;1;EP3 VERT
CN2;4;34;CN8;3;76;PC;4;1;EP3VIOLET
CN2;5;32;CN6;2;60;PC;57;1; ROSE
CN2;6;30;CN7;2;86;PC;6;1;BIEGE
AG0;1;28;AG0;2;26;PC;1;0;AGRAFE 10V 
AG1;1;97;AG1;2;99;PC;15;0;AGRAFE1
AG2;1;101;AG2;2;103;PC;21;0;AGRAFE2
AG3;1;105;AG3;2;107;PC;17;0;AGRAFE3
AG4;1;109;AG4;2;111;PC;63;0;AGRAFE4
AG5;1;113;AG5;2;115;PC;22;0;AGRAFE5
AG6;1;117;AG6;2;119;PC;5;0;AGRAFE6
AG7;1;121;AG7;2;123;PC;17;0;AGRAFE7
VE1;1;24;VE2;2;22;PNC;1;1;Verouillage
